Envergadura_m,Potencia_W,Peso_Total_kg
15.668341708542712,735.6272007641938,45.27487917427955
15.728643216080402,735.9390545539419,45.37392084779064
15.78894472361809,736.2796778716788,45.47326675806062
15.849246231155778,736.6487602075223,45.57291667234335
15.909547738693467,737.0459968687176,45.672870358956935
15.969849246231156,737.4710888486802,45.77312758727487
16.030150753768844,737.9237426994683,45.873688127717216
16.09045226130653,738.40367040759,45.97455175174199
16.150753768844222,738.910589273038,46.07571823183653
16.21105527638191,739.4442217914631,46.17718734150904
16.271356783919597,740.0042955393893,46.27895885528027
16.331658291457288,740.5905430623815,46.38103254867521
16.391959798994975,741.2027017660835,46.48340819821489
16.452261306532662,741.8405138100342,46.58608558140837
16.51256281407035,742.5037260041904,46.68906447674475
16.57286432160804,743.1920897080702,46.79234466368523
16.633165829145728,743.9053607324465,46.895925922655366
16.69346733668342,744.6432992435123,46.999808035037375
16.753768844221106,745.4056696694536,47.103990783162494
16.814070351758794,746.1922406093521,47.20847395030344
16.87437185929648,747.0027847443602,47.31325732066703
16.93467336683417,747.8370787510786,47.41834067938676
16.99497487437186,748.6949032170742,47.523723812515584
17.055276381909547,749.5760425584815,47.62940650701871
17.115577889447238,750.4802849396243,47.735388550766466
17.175879396984925,751.4074221946057,47.84166973252733
17.236180904522612,752.3572497508086,47.94824984196094
17.2964824120603,753.3295665542536,48.055128669611236
17.35678391959799,754.3241749967646,48.16230600689968
17.417085427135678,755.3408808448909,48.26978164611853
17.477386934673365,756.3794931705387,48.377555380424184
17.537688442211056,757.4398242832625,48.48562700383065
17.597989949748744,758.5216896641742,48.593996311202986
17.65829145728643,759.6249079014248,48.70266309825095
17.71859296482412,760.7493006272147,48.81162716152261
17.77889447236181,761.894692456293,48.920888298398026
17.839195979899497,763.0609109259051,49.0304463070831
17.899497487437188,764.247786437149,49.14030098660339
17.959798994974875,765.4551521977043,49.25045213679799
18.020100502512562,766.682844165895,49.360899558313605
18.08040201005025,767.9307009960528,49.4716430525985
18.140703517587937,769.1985639851454,49.58268242189669
18.201005025125628,770.4862770206353,49.694017469242056
18.261306532663315,771.7936865295403,49.80564799845259
18.321608040201006,773.1206414286595,49.917573814124744
18.381909547738694,774.4669930759376,50.029794721627695
18.44221105527638,775.832595222937,50.142310527097855
18.50251256281407,777.2173039683887,50.25512103743327
18.562814070351756,778.6209777127938,50.368226060288194
18.623115577889447,780.0434771140486,50.48162540406766
18.683417085427138,781.4846650440692,50.59531887792214
18.743718592964825,782.9444065463837,50.709306291742216
18.804020100502512,784.4225687946781,50.823587456153376
18.8643216080402,785.9190210522572,50.93816218251078
18.924623115577887,787.4336346324131,51.05303028289417
18.984924623115578,788.9662828596635,51.16819157010274
19.045226130653266,790.5168410318479,51.28364585765011
19.105527638190956,792.0851863830582,51.39939295975936
19.165829145728644,793.6711980473792,51.51543269135809
19.22613065326633,795.2747570234213,51.631764868073546
19.28643216080402,796.8957461396262,51.748389306227764
19.346733668341706,798.5340500203259,51.865305822832795
19.407035175879397,800.1895550525339,51.982514235585995
19.467336683417084,801.8621493534567,52.10001436286528
19.527638190954775,803.5517227386986,52.217806023724535
19.587939698492463,805.2581666911528,52.33588903788897
19.64824120603015,806.9813743305551,52.454263225750594
19.708542713567837,808.7212403836859,52.57292840836374
19.768844221105525,810.4776611552054,52.691884407440504
19.829145728643216,812.2505344991083,52.811131045346485
19.889447236180906,814.0397597907757,52.93066814509619
19.949748743718594,815.8452378996229,53.050495530348876
